ALIAS,VERSO,CODPERCORSO,CODPRGARCOLINEA,XDA,YDA,XA,YA,FDA_ID,FDA_NOME,FDA_X,FDA_Y,FA_ID,FA_NAME,FA_X,FA_Y,CODARCOFERMATA,CODSEGMENTO
4L,Asc,609,776,753200.9,5041325.18,753195.06,5041317.36,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17403
4L,Asc,609,776,753195.06,5041317.36,753163.54,5041322.43,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17404
4L,Asc,609,776,753163.54,5041322.43,753155.2,5041327.32,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17405
4L,Asc,609,776,753155.2,5041327.32,753148.93,5041333.41,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17406
4L,Asc,609,776,753148.93,5041333.41,753145.24,5041339.38,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17407
4L,Asc,609,776,753145.24,5041339.38,753143.72,5041346.11,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17408
4L,Asc,609,776,753143.72,5041346.11,753145.24,5041362.53,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17409
4L,Asc,609,776,753145.24,5041362.53,753142.61,5041371.55,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17410
4L,Asc,609,776,753142.61,5041371.55,753155.42,5041424.7,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17411
4L,Asc,609,776,753155.42,5041424.7,753182.46,5041519.06,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17412
4L,Asc,609,776,753182.46,5041519.06,753182.460001,5041519.06,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17413
4L,Asc,609,776,753182.460001,5041519.06,753259.65,5041793.34,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17414
4L,Asc,609,776,753259.65,5041793.34,753262.16,5041794.71,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17415
4L,Asc,609,776,753262.16,5041794.71,753263.91,5041796.98,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17416
4L,Asc,609,776,753263.91,5041796.98,753264.57,5041799.77,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17417
4L,Asc,609,776,753264.57,5041799.77,753264.05,5041802.59,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17418
4L,Asc,609,776,753264.05,5041802.59,753262.42,5041804.95,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17419
4L,Asc,609,776,753262.42,5041804.95,753261.53,5041805.5,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17420
4L,Asc,609,776,753261.53,5041805.5,753278.45,5041857.64,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17421
4L,Asc,609,776,753278.45,5041857.64,753283.09,5041868.74,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17422
4L,Asc,609,776,753283.09,5041868.74,753290.35,5041876.24,1325,Liberta' Commercio,753200.9,5041325.18,11,Corso del Popolo Torino,753290.35,5041876.24,1186363,17423
